Review,Rating,Tanggal
"Tidak Bisa Unduh Buku Aplikasi tidak berfungsi dengan baik di Android. Setiap kali mencoba mengunduh buku, muncul pesan error ""Ada Masalah Saat Mengirim Data, Silahkan Coba Lagi Nanti"". Sudah mencoba berkali-kali namun hasilnya tetap sama, padahal koneksi internet dalam kondisi baik. Mohon segera diperbaiki. Aplikasi ini sangat berguna, sayang sekali jika fitur utamanya tidak berjalan. Harap tim pengembang menindaklanjuti masalah ini.",3,2026-04-19 18:34:37
Sejauh ini baik.,3,2026-04-18 18:10:19
Bagus,5,2026-04-18 08:59:28
"login akun gabisa, daftar juga gabisa. ini pemerintah gaada anggaran buat betulin aplikasi ini kh..",1,2026-04-17 17:52:17
"Bukunya banyak yang gak bisa dibaca, udah pinjam tinggal dibaca tapi halaman malah loading terus. Bukunya gk keluar-keluar",1,2026-04-17 09:56:55
why Ipusnas gila lagi😔,1,2026-04-17 09:44:49
Sudah hilang sabarku.. Masalahnya udah pinjam satu buku dan lagi baca. Sedang berada di plot utama konflik cerita. Istilahnya lagi seru-serunya membaca. Kemudian saya tandai bookmark untuk lanjut kembali dibaca nanti sore. Apalah daya dari sore sampai pagi tiba-tiba iPusnas kembali error... Woi. Nanggung banget woiiii....,1,2026-04-17 04:46:38
"sudah semestinya segitu nilaimu, kalo bisa setengah sih, gue beri stengah bintang dah.",1,2026-04-16 20:50:02
"masa aku pinjam gak bisa, katanya gak bisa, apa sih",1,2026-04-16 13:42:24
"Saya mencoba meng-install ulang aplikasi dikarenakan aplikasi sebelumnya sering terjadi eror, tapi setelah re-install dan mencoba masuk ke akun saya, selalu gagal di tahap verifikasi.",1,2026-04-16 10:22:41
Kenapa perangkat saya gagal diverifikasi?,1,2026-04-16 09:28:50
Aneh. Setiap mau login keluar mulu.,1,2026-04-16 06:37:35
kakak yang paling cantik/ganteng. kapan memperbaiki aplikasi ini. padahal aplikasi ini bagus banget buat kita. aku harap secepatnya memperbaiki nya. soalnya aplikasi ini okay.,1,2026-04-15 23:26:26
